Project,Project Status,Start Date,End Date,Budget,Actual Spend,Task Name,Task Status,Priority,Assignee,Sprint,Previous Sprints,Comments
Alpha,In Progress,2026-01-06,2026-06-30,100000,45000,Design system architecture,Done,High,Alice Chen,Sprint 3,,Completed ahead of schedule
Alpha,In Progress,2026-01-06,2026-06-30,100000,45000,Build user authentication API,In Progress,High,Bob Martinez,Sprint 5,,Blocked by infrastructure team - no ETA provided
Alpha,In Progress,2026-01-06,2026-06-30,100000,45000,Implement payment gateway,Blocked,Critical,Charlie Kim,Sprint 5,Sprint 3;Sprint 4,Blocked by third-party vendor API changes. Waiting for vendor response since 2026-01-20
Alpha,In Progress,2026-01-06,2026-06-30,100000,45000,Frontend dashboard build,In Progress,High,Diana Patel,Sprint 5,,Depends on API completion from Bob
Alpha,In Progress,2026-01-06,2026-06-30,100000,45000,Write integration tests,To Do,Medium,Eve Johnson,Sprint 5,,Waiting for authentication API and payment gateway to be complete
Alpha,In Progress,2026-01-06,2026-06-30,100000,45000,Database migration scripts,Done,High,Frank Liu,Sprint 4,,
Alpha,In Progress,2026-01-06,2026-06-30,100000,45000,Performance load testing,To Do,Medium,Alice Chen,Sprint 5,,Prerequisite: all APIs must be deployed to staging
Alpha,In Progress,2026-01-06,2026-06-30,100000,45000,Security audit,To Do,High,Bob Martinez,Sprint 6,,Depends on authentication API completion
Alpha,In Progress,2026-01-06,2026-06-30,100000,45000,User acceptance testing,To Do,High,Charlie Kim,Sprint 6,,
Alpha,In Progress,2026-01-06,2026-06-30,100000,45000,Documentation update,To Do,Low,Diana Patel,Sprint 6,,
Beta,Planning,2026-02-01,2026-08-31,150000,10000,Requirements gathering,Done,High,Grace Wilson,Sprint 2,,
Beta,Planning,2026-02-01,2026-08-31,150000,10000,Stakeholder interviews,Done,High,Henry Obi,Sprint 2,,
Beta,Planning,2026-02-01,2026-08-31,150000,10000,Design mockups,In Progress,High,Grace Wilson,Sprint 3,,Client feedback pending - slow response from sponsor
Beta,Planning,2026-02-01,2026-08-31,150000,10000,Technical feasibility study,In Progress,Medium,Henry Obi,Sprint 3,,Waiting for infrastructure team capacity assessment
Beta,Planning,2026-02-01,2026-08-31,150000,10000,Data model design,To Do,High,Grace Wilson,Sprint 4,,Depends on technical feasibility study
Beta,Planning,2026-02-01,2026-08-31,150000,10000,API specification,To Do,Medium,Henry Obi,Sprint 4,,
Beta,Planning,2026-02-01,2026-08-31,150000,10000,Vendor selection,To Do,High,Grace Wilson,Sprint 4,,Blocked by procurement process - budget approval pending
Beta,Planning,2026-02-01,2026-08-31,150000,10000,Environment setup,To Do,Medium,Henry Obi,Sprint 5,,
Gamma,At Risk,2025-09-01,2026-04-30,200000,185000,Core platform migration,In Progress,Critical,Ivan Torres,Sprint 8,Sprint 4;Sprint 5;Sprint 6;Sprint 7,Repeatedly delayed due to legacy system complexity. Original estimate was Sprint 5 completion
Gamma,At Risk,2025-09-01,2026-04-30,200000,185000,Data migration pipeline,In Progress,Critical,Julia Park,Sprint 8,Sprint 6;Sprint 7,Blocked by core platform migration. Cannot proceed until platform is stable
